Země	Rektál	Rektál	Rektál	Rektál	Rektál	Rektál	Rektál	Rektál	Rektál	Rektál
Vesnice K	0	0	0	0	0	0.1	0	0	0	0
Města K	0	0	0	1.1	0	0	0	0	1.1	0
Obchod z K	0	0	0	1.1	0	0	0	0	1.1	0
Farmy K	0	0	0	0	8.7	0	0	0	0	0
Laborato K	0	0	0.8	2.5	0	0.5	5.1	0	2.2	0.4
Továrny K	0	0	6.7	0	0	2.4	0	0	0	4.1
Kasárny K	0.4	0	0.5	0	0	4.7	0	5.2	0	2
Elektrár K	5.8	8.2	0	2.2	0	0.1	0	1.6	2.3	0.1
Záb stř K	0	0.4	0.8	0.7	0.4	0.3	0	0.9	0.9	0.3
Voj zákl K	0.3	0.9	1.5	0.6	1.2	1.5	0.7	1.4	0.4	1.2
Staveb fir	11	11	36	20	18	48	11	28	19	35
Nezastav K	1	0	0	0.7	0	0	0.9	0.2	0.4	0
Ruiny K	0.5	0.3	0	0	0	0	0	0	0.3	0
B vesnice	+5%	+30%	+5%	+30%	+44%	+5%	-5%	+5%	+30%	+5%
B farmy	+5%	+30%	+5%	+30%	+44%	+5%	-5%	+5%	+30%	+5%
B laborat	+20%	+45%	+15%	+59%	+45%	-15%	+54%	-10%	+45%	-15%
B továrny	+15%	+25%	+34%	+25%	+25%	+8%	+0%	+0%	+25%	+8%
B kasárny	+10%	+25%	+14%	+25%	+25%	+18%	+0%	+20%	+25%	+18%
B elektrár	+25%	+30%	+5%	+30%	+30%	+5%	+5%	+5%	+30%	+5%
B voj zákl	+0%	+0%	+0%	+0%	+0%	+0%	+0%	+50%	+0%	+0%
B peníze	-5%	+20%	+25%	+20%	+20%	+5%	+20%	-5%	+20%	+5%
B max hosp	+10%	+10%	+10%	+10%	+10%	+0%	+25%	-25%	+10%	+0%
B max voj	+10%	+10%	+10%	+10%	+10%	+0%	+10%	-25%	+10%	+0%
B efekt hosp	+25%	+25%	-25%	+25%	+25%	-25%	+25%	-25%	+25%	-25%
B útok	-20%	-30%	+46%	-30%	-30%	+55%	-30%	+30%	-30%	+50%
B obrana	+25%	+25%	+44%	+25%	+25%	+58%	+41%	+30%	+25%	+53%
B koloniz	+35%	+50%	+35%	+25%	+50%	+20%	+25%	+25%	+50%	+20%
B žoldy	-40%	-65%	-15%	-15%	-65%	-15%	-40%	-40%	-40%	-15%
Země	Rektál	Rektál	Rektál	Rektál	Rektál	Rektál	Rektál	Rektál	Rektál	Rektál
Logout	-8.5h	-0.3h	-1.5h	-0.2h	-0h	-0.6h	-8.6h	-1.4h	-0.2h	-0.5h
Rozvoj zač	~	~	~	~	~	~	~	~	~	~
Hosp pomoc	-9.3d	-42.3h	~	-4.7d	~	-94h	-43.5h	~	-74.9h	~
Dostal HP	1	0	0	4	0	2	1	0	3	4
Poslal HP	1	2	0	3	0	2	3	0	4	0
Hum pomoc	-6.4d	-4.9h	-28.9h	-23.6h	-5h	~	-43h	-29.4h	-25.6h	~
Ali Fórum	-16.6h	-0.7h	-9.7h	-20h	-0.3h	-0.7h	-16.5h	-9.7h	-0.2h	-0.7h
Do poklad	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%
Z poklad M	0	0	0	0	0	0	0	0	0	0
Vesmír	16.2%	30.2%	43.8%	34.8%	34.5%	35%	50.8%	35.3%	32.4%	32.1%
Utop spok K	27	72	4	78	82	0	12	30	81	0
Android	7%	8%	7%	8%	7%	0%	7%	0%	8%	0%
UFO	1.1%	3%	4.9%	3.7%	3.6%	3.7%	6.2%	3.7%	3.3%	3.3%
Emb Hlas	3	1	0	3	3	0	3	0	3	0
Odehr kola	2043	2183	2128	2119	2186	2176	1999	2161	2133	2038
Volná kola	12	54	104	93	51	8	140	71	101	140
Nepř kola	108	0	0	0	0	50	23	0	0	58(sem vlož výpis z Webgame)
